y,Sb
0.99875,0.992634
0.99625,0.99031
0.99375,0.988541
0.99125,0.987053
0.98875,0.985746
0.98625,0.984566
0.98375,0.983483
0.98125,0.982476
0.97875,0.981533
0.97625,0.980643
0.97375,0.979797
0.97125,0.978991
0.96875,0.978219
0.96625,0.977478
0.96375,0.976764
0.96125,0.976074
0.95875,0.975407
0.95625,0.97476
0.95375,0.974132
0.95125,0.973521
0.94875,0.972927
0.94625,0.972347
0.94375,0.971781
0.94125,0.971228
0.93875,0.970687
0.93625,0.970157
0.93375,0.969639
0.93125,0.96913
0.92875,0.968632
0.92625,0.968142
0.92375,0.967661
0.92125,0.967188
0.91875,0.966723
0.91625,0.966266
0.91375,0.965816
0.91125,0.965373
0.90875,0.964936
0.90625,0.964506
0.90375,0.964081
0.90125,0.963663
0.89875,0.96325
0.89625,0.962843
0.89375,0.96244
0.89125,0.962043
0.88875,0.961651
0.88625,0.961263
0.88375,0.96088
0.88125,0.960501
0.87875,0.960127
0.87625,0.959756
0.87375,0.95939
0.87125,0.959027
0.86875,0.958668
0.86625,0.958313
0.86375,0.957961
0.86125,0.957613
0.85875,0.957268
0.85625,0.956926
0.85375,0.956587
0.85125,0.956252
0.84875,0.955919
0.84625,0.955589
0.84375,0.955263
0.84125,0.954939
0.83875,0.954617
0.83625,0.954298
0.83375,0.953982
0.83125,0.953669
0.82875,0.953357
0.82625,0.953048
0.82375,0.952742
0.82125,0.952438
0.81875,0.952135
0.81625,0.951836
0.81375,0.951538
0.81125,0.951242
0.80875,0.950948
0.80625,0.950657
0.80375,0.950367
0.80125,0.950079
0.79875,0.949793
0.79625,0.949509
0.79375,0.949226
0.79125,0.948946
0.78875,0.948667
0.78625,0.948389
0.78375,0.948114
0.78125,0.947839
0.77875,0.947567
0.77625,0.947296
0.77375,0.947026
0.77125,0.946758
0.76875,0.946492
0.76625,0.946226
0.76375,0.945962
0.76125,0.9457
0.75875,0.945439
0.75625,0.945179
0.75375,0.94492
0.75125,0.944662
0.74875,0.944406
0.74625,0.944151
0.74375,0.943897
0.74125,0.943644
0.73875,0.943392
0.73625,0.943141
0.73375,0.942891
0.73125,0.942642
0.72875,0.942394
0.72625,0.942147
0.72375,0.941901
0.72125,0.941656
0.71875,0.941411
0.71625,0.941168
0.71375,0.940925
0.71125,0.940683
0.70875,0.940441
0.70625,0.9402
0.70375,0.93996
0.70125,0.93972
0.69875,0.939481
0.69625,0.939242
0.69375,0.939004
0.69125,0.938766
0.68875,0.938529
0.68625,0.938291
0.68375,0.938054
0.68125,0.937817
0.67875,0.937581
0.67625,0.937344
0.67375,0.937107
0.67125,0.93687
0.66875,0.936632
0.66625,0.936394
0.66375,0.936156
0.66125,0.935917
0.65875,0.935677
0.65625,0.935436
0.65375,0.935194
0.65125,0.934951
0.64875,0.934706
0.64625,0.934459
0.64375,0.93421
0.64125,0.933958
0.63875,0.933703
0.63625,0.933445
0.63375,0.933182
0.63125,0.932914
0.62875,0.932641
0.62625,0.93236
0.62375,0.932072
0.62125,0.931773
0.61875,0.931463
0.61625,0.931138
0.61375,0.930795
0.61125,0.930429
0.60875,0.930035
0.60625,0.929604
0.60375,0.929124
0.60125,0.928579
0.59875,0.927941
0.59625,0.92717
0.59375,0.926193
0.59125,0.924875
0.58875,0.922932
0.58625,0.919642
0.58375,0.912564
0.58125,0.882045
0.57875,0.286457
0.57625,0.000239064
0.57375,0.0002
0.57125,0.0002
0.56875,0.0002
0.56625,0.0002
0.56375,0.0002
0.56125,0.0002
0.55875,0.0002
0.55625,0.0002
0.55375,0.0002
0.55125,0.0002
0.54875,0.0002
0.54625,0.0002
0.54375,0.0002
0.54125,0.0002
0.53875,0.0002
0.53625,0.0002
0.53375,0.0002
0.53125,0.0002
0.52875,0.0002
0.52625,0.0002
0.52375,0.0002
0.52125,0.0002
0.51875,0.0002
0.51625,0.0002
0.51375,0.0002
0.51125,0.0002
0.50875,0.0002
0.50625,0.0002
0.50375,0.0002
0.50125,0.0002
0.49875,0.0002
0.49625,0.0002
0.49375,0.0002
0.49125,0.0002
0.48875,0.0002
0.48625,0.0002
0.48375,0.0002
0.48125,0.0002
0.47875,0.0002
0.47625,0.0002
0.47375,0.0002
0.47125,0.0002
0.46875,0.0002
0.46625,0.0002
0.46375,0.0002
0.46125,0.0002
0.45875,0.0002
0.45625,0.0002
0.45375,0.0002
0.45125,0.0002
0.44875,0.0002
0.44625,0.0002
0.44375,0.0002
0.44125,0.0002
0.43875,0.0002
0.43625,0.0002
0.43375,0.0002
0.43125,0.0002
0.42875,0.0002
0.42625,0.0002
0.42375,0.0002
0.42125,0.0002
0.41875,0.0002
0.41625,0.0002
0.41375,0.0002
0.41125,0.0002
0.40875,0.0002
0.40625,0.0002
0.40375,0.0002
0.40125,0.0002
0.39875,0.0002
0.39625,0.0002
0.39375,0.0002
0.39125,0.0002
0.38875,0.0002
0.38625,0.0002
0.38375,0.0002
0.38125,0.0002
0.37875,0.0002
0.37625,0.0002
0.37375,0.0002
0.37125,0.0002
0.36875,0.0002
0.36625,0.0002
0.36375,0.0002
0.36125,0.0002
0.35875,0.0002
0.35625,0.0002
0.35375,0.0002
0.35125,0.0002
0.34875,0.0002
0.34625,0.0002
0.34375,0.0002
0.34125,0.0002
0.33875,0.0002
0.33625,0.0002
0.33375,0.0002
0.33125,0.0002
0.32875,0.0002
0.32625,0.0002
0.32375,0.0002
0.32125,0.0002
0.31875,0.0002
0.31625,0.0002
0.31375,0.0002
0.31125,0.0002
0.30875,0.0002
0.30625,0.0002
0.30375,0.0002
0.30125,0.0002
0.29875,0.0002
0.29625,0.0002
0.29375,0.0002
0.29125,0.0002
0.28875,0.0002
0.28625,0.0002
0.28375,0.0002
0.28125,0.0002
0.27875,0.0002
0.27625,0.0002
0.27375,0.0002
0.27125,0.0002
0.26875,0.0002
0.26625,0.0002
0.26375,0.0002
0.26125,0.0002
0.25875,0.0002
0.25625,0.0002
0.25375,0.0002
0.25125,0.0002
0.24875,0.0002
0.24625,0.0002
0.24375,0.0002
0.24125,0.0002
0.23875,0.0002
0.23625,0.0002
0.23375,0.0002
0.23125,0.0002
0.22875,0.0002
0.22625,0.0002
0.22375,0.0002
0.22125,0.0002
0.21875,0.0002
0.21625,0.0002
0.21375,0.0002
0.21125,0.0002
0.20875,0.0002
0.20625,0.0002
0.20375,0.0002
0.20125,0.0002
0.19875,0.0002
0.19625,0.0002
0.19375,0.0002
0.19125,0.0002
0.18875,0.0002
0.18625,0.0002
0.18375,0.0002
0.18125,0.0002
0.17875,0.0002
0.17625,0.0002
0.17375,0.0002
0.17125,0.0002
0.16875,0.0002
0.16625,0.0002
0.16375,0.0002
0.16125,0.0002
0.15875,0.0002
0.15625,0.0002
0.15375,0.0002
0.15125,0.0002
0.14875,0.0002
0.14625,0.0002
0.14375,0.0002
0.14125,0.0002
0.13875,0.0002
0.13625,0.0002
0.13375,0.0002
0.13125,0.0002
0.12875,0.0002
0.12625,0.0002
0.12375,0.0002
0.12125,0.0002
0.11875,0.0002
0.11625,0.0002
0.11375,0.0002
0.11125,0.0002
0.10875,0.0002
0.10625,0.0002
0.10375,0.0002
0.10125,0.0002
0.09875,0.0002
0.09625,0.0002
0.09375,0.0002
0.09125,0.0002
0.08875,0.0002
0.08625,0.0002
0.08375,0.0002
0.08125,0.0002
0.07875,0.0002
0.07625,0.0002
0.07375,0.0002
0.07125,0.0002
0.06875,0.0002
0.06625,0.0002
0.06375,0.0002
0.06125,0.0002
0.05875,0.0002
0.05625,0.0002
0.05375,0.0002
0.05125,0.0002
0.04875,0.0002
0.04625,0.0002
0.04375,0.0002
0.04125,0.0002
