y,Sb
0.99875,0.98077
0.99625,0.967646
0.99375,0.956177
0.99125,0.945903
0.98875,0.936581
0.98625,0.928045
0.98375,0.920169
0.98125,0.912858
0.97875,0.906036
0.97625,0.899642
0.97375,0.893624
0.97125,0.88794
0.96875,0.882555
0.96625,0.87744
0.96375,0.872567
0.96125,0.867916
0.95875,0.863467
0.95625,0.859202
0.95375,0.855108
0.95125,0.85117
0.94875,0.847378
0.94625,0.84372
0.94375,0.840188
0.94125,0.836774
0.93875,0.833468
0.93625,0.830266
0.93375,0.82716
0.93125,0.824145
0.92875,0.821215
0.92625,0.818366
0.92375,0.815594
0.92125,0.812894
0.91875,0.810263
0.91625,0.807697
0.91375,0.805193
0.91125,0.802748
0.90875,0.800359
0.90625,0.798024
0.90375,0.795741
0.90125,0.793507
0.89875,0.791319
0.89625,0.789177
0.89375,0.787078
0.89125,0.78502
0.88875,0.783003
0.88625,0.781023
0.88375,0.779081
0.88125,0.777174
0.87875,0.775301
0.87625,0.773461
0.87375,0.771653
0.87125,0.769876
0.86875,0.768128
0.86625,0.766409
0.86375,0.764718
0.86125,0.763053
0.85875,0.761414
0.85625,0.759801
0.85375,0.758212
0.85125,0.756647
0.84875,0.755104
0.84625,0.753584
0.84375,0.752085
0.84125,0.750608
0.83875,0.749151
0.83625,0.747713
0.83375,0.746295
0.83125,0.744895
0.82875,0.743514
0.82625,0.742151
0.82375,0.740805
0.82125,0.739475
0.81875,0.738162
0.81625,0.736865
0.81375,0.735584
0.81125,0.734318
0.80875,0.733067
0.80625,0.73183
0.80375,0.730607
0.80125,0.729398
0.79875,0.728203
0.79625,0.727021
0.79375,0.725851
0.79125,0.724695
0.78875,0.72355
0.78625,0.722418
0.78375,0.721297
0.78125,0.720188
0.77875,0.71909
0.77625,0.718004
0.77375,0.716928
0.77125,0.715862
0.76875,0.714807
0.76625,0.713763
0.76375,0.712728
0.76125,0.711703
0.75875,0.710687
0.75625,0.709681
0.75375,0.708684
0.75125,0.707696
0.74875,0.706717
0.74625,0.705747
0.74375,0.704785
0.74125,0.703831
0.73875,0.702886
0.73625,0.701949
0.73375,0.701019
0.73125,0.700098
0.72875,0.699184
0.72625,0.698278
0.72375,0.697378
0.72125,0.696487
0.71875,0.695602
0.71625,0.694724
0.71375,0.693854
0.71125,0.69299
0.70875,0.692132
0.70625,0.691281
0.70375,0.690437
0.70125,0.689599
0.69875,0.688767
0.69625,0.687941
0.69375,0.687122
0.69125,0.686308
0.68875,0.6855
0.68625,0.684698
0.68375,0.683902
0.68125,0.683111
0.67875,0.682325
0.67625,0.681545
0.67375,0.680771
0.67125,0.680001
0.66875,0.679237
0.66625,0.678478
0.66375,0.677724
0.66125,0.676975
0.65875,0.676231
0.65625,0.675491
0.65375,0.674757
0.65125,0.674027
0.64875,0.673301
0.64625,0.67258
0.64375,0.671864
0.64125,0.671152
0.63875,0.670444
0.63625,0.669741
0.63375,0.669042
0.63125,0.668347
0.62875,0.667656
0.62625,0.666969
0.62375,0.666287
0.62125,0.665608
0.61875,0.664933
0.61625,0.664262
0.61375,0.663595
0.61125,0.662932
0.60875,0.662272
0.60625,0.661616
0.60375,0.660964
0.60125,0.660315
0.59875,0.65967
0.59625,0.659028
0.59375,0.65839
0.59125,0.657755
0.58875,0.657123
0.58625,0.656495
0.58375,0.65587
0.58125,0.655248
0.57875,0.65463
0.57625,0.654014
0.57375,0.653402
0.57125,0.652793
0.56875,0.652187
0.56625,0.651583
0.56375,0.650983
0.56125,0.650386
0.55875,0.649792
0.55625,0.6492
0.55375,0.648612
0.55125,0.648026
0.54875,0.647443
0.54625,0.646863
0.54375,0.646285
0.54125,0.64571
0.53875,0.645138
0.53625,0.644568
0.53375,0.644001
0.53125,0.643437
0.52875,0.642875
0.52625,0.642316
0.52375,0.641759
0.52125,0.641204
0.51875,0.640652
0.51625,0.640103
0.51375,0.639555
0.51125,0.63901
0.50875,0.638468
0.50625,0.637927
0.50375,0.637389
0.50125,0.636854
0.49875,0.63632
0.49625,0.635789
0.49375,0.635259
0.49125,0.634732
0.48875,0.634207
0.48625,0.633685
0.48375,0.633164
0.48125,0.632645
0.47875,0.632128
0.47625,0.631614
0.47375,0.631101
0.47125,0.63059
0.46875,0.630082
0.46625,0.629575
0.46375,0.62907
0.46125,0.628567
0.45875,0.628066
0.45625,0.627567
0.45375,0.627069
0.45125,0.626574
0.44875,0.62608
0.44625,0.625588
0.44375,0.625097
0.44125,0.624609
0.43875,0.624122
0.43625,0.623637
0.43375,0.623153
0.43125,0.622671
0.42875,0.622191
0.42625,0.621713
0.42375,0.621236
0.42125,0.62076
0.41875,0.620287
0.41625,0.619814
0.41375,0.619344
0.41125,0.618875
0.40875,0.618407
0.40625,0.617941
0.40375,0.617476
0.40125,0.617013
0.39875,0.616551
0.39625,0.616091
0.39375,0.615632
0.39125,0.615174
0.38875,0.614718
0.38625,0.614263
0.38375,0.61381
0.38125,0.613358
0.37875,0.612907
0.37625,0.612457
0.37375,0.612009
0.37125,0.611562
0.36875,0.611116
0.36625,0.610671
0.36375,0.610228
0.36125,0.609786
0.35875,0.609345
0.35625,0.608905
0.35375,0.608466
0.35125,0.608029
0.34875,0.607592
0.34625,0.607157
0.34375,0.606723
0.34125,0.606289
0.33875,0.605857
0.33625,0.605426
0.33375,0.604996
0.33125,0.604567
0.32875,0.604138
0.32625,0.603711
0.32375,0.603285
0.32125,0.602859
0.31875,0.602435
0.31625,0.602011
0.31375,0.601588
0.31125,0.601166
0.30875,0.600745
0.30625,0.600324
0.30375,0.599905
0.30125,0.599486
0.29875,0.599068
0.29625,0.59865
0.29375,0.598233
0.29125,0.597817
0.28875,0.597401
0.28625,0.596986
0.28375,0.596572
0.28125,0.596158
0.27875,0.595745
0.27625,0.595332
0.27375,0.594919
0.27125,0.594507
0.26875,0.594095
0.26625,0.593683
0.26375,0.593272
0.26125,0.592861
0.25875,0.59245
0.25625,0.592039
0.25375,0.591629
0.25125,0.591218
0.24875,0.590807
0.24625,0.590397
0.24375,0.589986
0.24125,0.589575
0.23875,0.589163
0.23625,0.588751
0.23375,0.588339
0.23125,0.587926
0.22875,0.587513
0.22625,0.587099
0.22375,0.586684
0.22125,0.586268
0.21875,0.585851
0.21625,0.585432
0.21375,0.585012
0.21125,0.584591
0.20875,0.584168
0.20625,0.583743
0.20375,0.583315
0.20125,0.582885
0.19875,0.582453
0.19625,0.582017
0.19375,0.581578
0.19125,0.581136
0.18875,0.580689
0.18625,0.580237
0.18375,0.579781
0.18125,0.579318
0.17875,0.578849
0.17625,0.578373
0.17375,0.577889
0.17125,0.577395
0.16875,0.576891
0.16625,0.576375
0.16375,0.575846
0.16125,0.575301
0.15875,0.574738
0.15625,0.574155
0.15375,0.573547
0.15125,0.572912
0.14875,0.572243
0.14625,0.571534
0.14375,0.570778
0.14125,0.569963
0.13875,0.569076
0.13625,0.568099
0.13375,0.567006
0.13125,0.565763
0.12875,0.564318
0.12625,0.562596
0.12375,0.560476
0.12125,0.557756
0.11875,0.554072
0.11625,0.548688
0.11375,0.539847
0.11125,0.522104
0.10875,0.466771
0.10625,0.15404
0.10375,0.000254477
0.10125,0.0002
0.09875,0.0002
0.09625,0.0002
0.09375,0.0002
0.09125,0.0002
0.08875,0.0002
0.08625,0.0002
0.08375,0.0002
0.08125,0.0002
0.07875,0.0002
0.07625,0.0002
0.07375,0.0002
0.07125,0.0002
0.06875,0.0002
0.06625,0.0002
0.06375,0.0002
0.06125,0.0002
0.05875,0.0002
0.05625,0.0002
0.05375,0.0002
0.05125,0.0002
0.04875,0.0002
0.04625,0.0002
0.04375,0.0002
0.04125,0.0002
0.03875,0.0002
0.03625,0.0002
0.03375,0.0002
0.03125,0.0002
0.02875,0.0002
0.02625,0.0002
0.02375,0.0002
0.02125,0.0002
0.01875,0.0002
0.01625,0.0002
0.01375,0.0002
0.01125,0.0002
0.00875,0.0002
0.00625,0.0002
0.00375,0.0002
0.00125,0.0002
