y,Sb
9.875,0.002
9.625,0.002
9.375,0.002
9.125,0.002
8.875,0.002
8.625,0.002
8.375,0.002
8.125,0.002
7.875,0.002
7.625,0.002
7.375,0.002
7.125,0.002
6.875,0.002
6.625,0.002
6.375,0.002
6.125,0.0145218
5.875,0.0437447
5.625,0.0678611
5.375,0.0812819
5.125,0.0925462
4.875,0.102604
4.625,0.111913
4.375,0.12078
4.125,0.129472
3.875,0.138299
3.625,0.147727
3.375,0.158658
3.125,0.173382
2.875,0.201466
2.625,0.346719
2.375,0.659923
2.125,0.922613
1.875,0.998
1.625,0.998
1.375,0.998
1.125,0.99799
0.875,0.99798
0.625,0.99799
0.375,0.998003
0.125,0.998008
