y,Sb
9.875,0.002
9.625,0.002
9.375,0.002
9.125,0.002
8.875,0.002
8.625,0.002
8.375,0.0406186
8.125,0.127866
7.875,0.193862
7.625,0.224638
7.375,0.249338
7.125,0.27054
6.875,0.289373
6.625,0.306463
6.375,0.322198
6.125,0.336843
5.875,0.350586
5.625,0.363566
5.375,0.375891
5.125,0.387645
4.875,0.398897
4.625,0.409702
4.375,0.420106
4.125,0.430148
3.875,0.439861
3.625,0.449273
3.375,0.458408
3.125,0.467288
2.875,0.475933
2.625,0.484357
2.375,0.492577
2.125,0.500604
1.875,0.508452
1.625,0.516131
1.375,0.52365
1.125,0.531018
0.875,0.544911
0.625,0.662826
0.375,0.871831
0.125,0.975281
